"postId","commentId","content","timestamp","likeCount"
"76Vb9JwfqP8","Ugzp2UPYXLeRTFospt14AaABAg","Khủng khiếp khi Mẹ Thiên Nhiên nổi giận . Thương lắm đồng bào ơi ! Ai xem cũng nghẹn ngào tuôn rơi nước mắt . Mọi người sẵn sàng chia sẻ dù ít dù nhiều  , để bà con vơi đi nỗi đau tột cùng này .","27/09/2024 18:29","7"
"76Vb9JwfqP8","Ugw2WDYhnAI0h4qG5554AaABAg","Bão yagi công nhận công phá mạnh thật😁😁😁😁😁😁😄😄😄😄😄","25/09/2024 14:21","5"
"aDQZ7zHQsCA","UgzKdCW2p5Obae-8nPx4AaABAg","Nam mô a di đà phat.niệm phat đi moi nguoi chỉ có troi phat cứu thôi","08/09/2024 13:05","41"
"aDQZ7zHQsCA","UgzdeAxnud45CG4xus54AaABAg","Quá kinh khủng,  gió hút cái cửa cuốn ra ngoài luôn","09/09/2024 15:10","10"
"aDQZ7zHQsCA","UgxXA3ue9lja42f4Um54AaABAg","Nam mô Đại từ Đại Bi cứu khổ cứu nạn quán thế âm bồ-tát","09/09/2024 07:14","20"
"aDQZ7zHQsCA","Ugy_RxbU2csexxTsovh4AaABAg","Sức gió trên 200km/giờ thì khủng khiếp rồi.🙄🤧","12/09/2024 23:01","2"
"aDQZ7zHQsCA","Ugz-MkCb76KUiCEDjw54AaABAg","Sức người ko làm gì đc thiên tai.sợ quá","08/09/2024 18:46","14"
"aDQZ7zHQsCA","UgxaHt9xQ5o34IN2zjJ4AaABAg","""CÓ CẦU TỨC CÓ ỨNG. CÓ THỜ CÓ THIÊN CÓ KIÊN CÓ LÀNH. CÁI PHƯỚC GIÚP LƯỚT CÁI HOẠ😮""
NAM MÔ CỨU KHỔ QUÁN THẾ ÂM BỒ TÁT..
NAM MÔ A DI ĐÀ PHẬT...A DI ĐÀ PHẬT...❤","09/09/2024 10:13","58"
"aDQZ7zHQsCA","Ugz09lCFsc9PKzoImY54AaABAg","Trời đối với thiên nhiên con người thật là nhỏ bé và yếu đuối 😢😢😢","11/09/2024 16:03","2"
"aDQZ7zHQsCA","UgxZnJGlMrA74BHXsnd4AaABAg","Nam mô a di đà phật","07/09/2024 04:56","11"
"aDQZ7zHQsCA","UgzlQFVyzi6kxc5MLJ14AaABAg","Nam mô a Di Đà Phật","07/09/2024 00:40","16"
"aDQZ7zHQsCA","Ugx8CXiHjJ5mnm7gACl4AaABAg","Kinh tế khủng hoảng, thất nghiệp khắp nơi... giờ còn thiên tai bão lụt thế này nữa","07/09/2024 22:23","65"
"aDQZ7zHQsCA","UgyMNjNG-ljph5Ix7jR4AaABAg","Toàn đợi gặp nạn hay đau bệnh mới niệm Phật, chứ bình thường không thèm niệm câu nào.","11/09/2024 19:47","3"
"aDQZ7zHQsCA","Ugxh-KvnF4kizD2F3jt4AaABAg","Xin Thiên Chúa cứu giúp chúng con. Amen","13/09/2024 05:33","6"
"aDQZ7zHQsCA","UgypTgpNveT0Z1LKOrZ4AaABAg","Cơn bão ghê thật 😱","11/09/2024 20:56","1"
"aDQZ7zHQsCA","Ugx4V1XFgoCHJEoI4WV4AaABAg","Giờ mà nhân loại đã đến gần sự phán xét
Của thiên chúa","11/09/2024 22:11","0"
"aDQZ7zHQsCA","Ugy7a1Xdcirqe61Ay694AaABAg","Vừa thấy tội vừa tức cười 😢😢😢😢😢😅😅😅","11/09/2024 00:58","0"
"aDQZ7zHQsCA","Ugxf9ehUF29_6kWWVJJ4AaABAg","trời ơi gió bão mạnh quá, sợ quá, adidaphat 🙏🙏🙏","10/09/2024 16:23","1"
"aDQZ7zHQsCA","UgwNO2SPOsjOQk2CsLZ4AaABAg","Cầu xin bình an no ấm đến","10/09/2024 20:54","2"
"aDQZ7zHQsCA","Ugw9VNsjW4KVFZEmrl94AaABAg","🙏🙏 ADIDAPHAT
MAY SAO KHÔNG  MẤT CẢ NGƯỜI 😂😂","13/09/2024 12:07","1"
"aDQZ7zHQsCA","UgwxHqbE6TuytfExJ9d4AaABAg","Dữ vậy","10/09/2024 21:20","0"
"aDQZ7zHQsCA","Ugyqqoq5_BcMs7lP6k94AaABAg","Cuối cùng t cũng đợi đc ngày nhà có bão 😂😂","07/09/2024 00:11","2"
"aDQZ7zHQsCA","Ugwy6htgi0qOX_H0uRJ4AaABAg","Mô phật bay luôn cửa cuốn. Nam mô A Di Đà phật","09/09/2024 06:30","2"
